127.0.0.1 - - [24/Oct/2018:23:29:26 +0530] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [24/Oct/2018:23:29:40 +0530] "GET /onlineshopping/ HTTP/1.1" 200 11186
0:0:0:0:0:0:0:1 - - [24/Oct/2018:23:29:42 +0530] "GET /onlineshopping/resources/css/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2018:23:29:42 +0530] "GET /onlineshopping/resources/css/myapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2018:23:29:42 +0530] "GET /onlineshopping/resources/js/productsController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2018:23:29:42 +0530] "GET /onlineshopping/resources/css/bootstrap-readable-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2018:23:29:42 +0530] "GET /onlineshopping/resources/js/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2018:23:29:42 +0530] "GET /onlineshopping/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2018:23:29:42 +0530] "GET /onlineshopping/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2018:23:29:42 +0530] "GET /onlineshopping/resources/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2018:23:29:42 +0530] "GET /onlineshopping/resources/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2018:23:29:42 +0530] "GET /onlineshopping/resources/js/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2018:23:29:42 +0530] "GET /onlineshopping/resources/js/dataTables.bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2018:23:29:42 +0530] "GET /onlineshopping/resources/js/myapp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2018:23:29:42 +0530] "GET /onlineshopping/resources/images/banner2.jpg HTTP/1.1" 304 -
